Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Status,Customer Value,Churn
0,0,3,0,0,0,0,2,0,0.0,1
0,0,3,1103,11,0,1,2,0,50.13,1
0,0,3,1182,7,0,4,2,0,53.505,1
0,0,3,3825,24,193,2,2,0,1041.705,0
0,0,3,4005,32,198,4,3,0,953.48,0
0,0,3,4085,28,200,7,2,0,1085.085,0
0,0,3,4130,30,200,4,3,0,966.4,0
0,0,4,1003,5,0,4,2,0,45.36,1
0,0,4,3905,26,197,3,3,0,945.24,0
0,0,4,4390,34,207,9,3,0,1004.96,0
0,0,5,4025,31,203,6,3,0,974.24,0
0,0,6,472,2,0,5,2,0,21.33,1
0,0,6,3375,23,183,8,3,0,867.92,0
0,0,6,3970,28,176,4,2,0,971.91,0
0,0,6,4210,32,204,5,3,0,985.68,0
0,0,7,0,0,0,0,2,0,0.0,1
0,0,7,992,12,0,2,2,0,45.18,1
0,0,7,1182,13,0,5,2,0,53.775,1
0,0,7,1428,16,0,5,3,0,57.76,1
0,0,7,3485,24,187,21,3,0,888.36,0
0,0,7,3895,33,199,5,3,0,953.12,0
0,0,7,4085,34,208,8,3,0,996.76,0
0,0,7,4275,35,217,11,3,0,1040.4,0
0,0,7,4330,37,210,8,3,0,1014.68,0
0,0,8,777,8,0,7,3,0,31.4,1
0,0,8,2288,29,9,11,3,0,128.68,0
0,0,8,3680,29,190,10,3,0,908.36,0
0,0,8,4200,40,240,12,3,0,1129.6,0
0,0,9,3790,30,194,23,3,0,928.8,0
0,0,9,4145,37,213,10,3,0,1019.28,0
0,0,9,4200,39,206,7,3,0,993.56,0
0,0,10,1130,10,6,6,2,0,78.3,0
0,0,10,4265,42,219,13,3,0,1048.28,0
0,0,11,1390,14,13,11,2,0,121.68,0
0,0,11,4165,36,218,12,3,0,1040.04,0
0,0,12,1182,19,1,6,3,0,52.04,1
0,0,12,1310,18,11,8,2,0,109.26,0
0,0,12,1435,16,13,8,2,0,123.795,0
0,0,12,2488,36,19,15,3,0,176.96,0
0,0,12,4085,40,216,9,3,0,1029.0,0
0,0,13,1210,12,10,7,2,0,99.99,0
0,0,13,1695,20,20,13,2,0,167.175,0
0,0,13,1837,28,0,17,3,0,74.6,0
0,0,14,1330,17,16,10,2,0,132.615,0
0,0,14,1948,29,3,2,3,0,91.08,0
0,0,15,680,9,0,12,2,0,31.005,0
0,0,15,1275,14,0,8,2,0,58.005,0
0,0,15,1515,18,17,9,2,0,145.485,0
0,0,16,0,0,0,0,2,0,0.0,0
0,0,16,1200,19,12,9,2,0,108.855,0
0,0,16,1390,20,21,12,2,0,157.95,0
0,0,16,1580,21,30,15,2,0,207.045,0
0,0,16,1635,23,23,12,2,0,178.11,0
0,0,17,660,16,0,5,2,0,30.42,0
0,0,17,985,15,3,14,2,0,58.5,0
0,0,17,1505,26,53,16,2,0,307.395,0
0,0,17,2660,45,0,15,3,0,108.2,0
0,0,18,0,0,0,0,4,1,0.0,0
0,0,18,1003,23,8,60,4,0,45.65,0
0,0,18,1095,16,7,6,2,0,81.495,0
0,0,18,1450,23,26,14,2,0,183.285,0
0,0,18,1505,25,19,11,2,0,154.35,0
0,0,18,2920,49,0,20,3,0,118.76,0
0,0,19,0,0,0,0,2,1,0.0,0
0,0,19,520,4,6,2,4,1,28.1,0
0,0,19,750,20,171,3,2,0,804.15,0
0,0,19,1263,27,15,65,4,0,69.75,0
0,0,19,1570,28,32,17,2,0,215.91,0
0,0,19,2840,53,0,17,3,0,115.72,0
0,0,19,2965,51,0,17,3,0,120.64,0
0,0,20,0,0,4,0,4,1,10.0,0
0,0,20,0,0,6,0,4,1,15.0,0
0,0,20,1010,24,178,8,2,0,847.53,0
0,0,20,1183,31,13,62,4,0,62.85,0
0,0,20,1308,29,15,62,4,0,70.925,0
0,0,20,1470,22,31,16,2,0,206.64,0
0,0,20,2740,47,0,16,3,0,111.48,0
0,0,20,3225,55,0,22,3,0,131.2,0
0,0,21,0,0,3,0,4,1,7.5,0
0,0,21,825,4,13,2,4,1,53.225,0
0,0,21,930,28,176,5,2,0,835.11,0
0,0,21,1055,26,178,5,2,0,849.645,0
0,0,21,1083,25,12,61,4,0,57.7,0
0,0,21,1390,26,29,13,2,0,194.22,0
0,0,21,2860,52,0,19,3,0,116.48,0
0,0,22,0,0,9,0,4,1,22.5,0
0,0,22,0,0,11,0,4,1,27.5,0
0,0,22,210,15,0,11,2,0,10.125,0
0,0,22,830,22,175,4,2,0,825.84,0
0,0,22,1203,30,18,64,4,0,75.825,0
0,0,22,2210,44,0,21,3,0,90.16,0
0,0,22,2805,49,0,17,3,0,114.16,0
0,0,22,3045,53,0,18,3,0,123.92,0
0,0,23,0,0,0,0,2,0,0.0,0
0,0,23,0,0,0,0,4,1,0.0,0
0,0,23,0,0,10,0,4,1,25.0,0
0,0,23,553,22,0,66,4,0,14.375,0
0,0,23,950,27,181,7,2,0,858.465,0
0,0,23,1148,27,0,62,4,0,29.375,0
0,0,23,2320,45,0,6,3,0,94.6,0
0,0,23,2730,54,0,18,3,0,111.36,0
0,0,23,2920,55,1,21,3,0,123.0,0
0,0,23,3110,56,10,24,3,0,166.64,0
0,0,23,3165,58,3,21,3,0,140.92,0
0,0,24,0,0,0,0,2,1,0.0,0
0,0,24,0,0,0,0,4,1,0.0,0
0,0,24,0,0,5,0,4,1,12.5,0
0,0,24,300,19,161,9,2,0,738.855,0
0,0,24,520,4,14,1,4,1,48.1,0
0,0,24,663,23,2,51,4,0,22.15,0
0,0,24,710,5,23,4,4,1,75.375,0
0,0,24,895,24,154,5,2,0,734.355,0
0,0,24,1073,32,14,63,4,0,62.625,0
0,0,24,1120,14,35,16,4,1,115.85,0
0,0,24,1263,33,23,66,4,0,89.9,0
0,0,24,2515,50,0,23,3,0,102.6,0
0,0,24,3035,61,33,25,3,0,255.84,0
0,0,25,0,0,0,0,2,1,0.0,0
0,0,25,0,0,0,0,4,1,0.0,0
0,0,25,635,10,46,5,4,1,131.125,0
0,0,25,710,4,0,1,4,1,17.85,0
0,0,25,820,29,177,6,2,0,834.705,0
0,0,25,858,28,5,68,4,0,34.65,0
0,0,25,1010,30,186,9,2,0,883.8,0
0,0,25,1378,39,55,70,4,0,172.925,0
0,0,25,1903,20,165,8,2,0,829.035,0
