Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Status,Customer Value,Churn
18,0,40,3143,70,36,34,3,1,272.52,0
4,0,31,15225,172,135,24,2,0,1300.365,0
0,0,14,1948,29,3,2,3,0,91.08,0
5,0,32,305,6,7,2,3,0,40.44,0
14,0,44,11770,166,26,50,4,0,363.4,0
19,0,36,10190,90,0,42,4,0,257.0,0
8,0,34,7210,119,273,33,2,0,1558.305,0
3,0,25,1610,40,207,24,2,0,1005.75,0
11,0,40,2855,46,301,23,3,0,1320.04,0
10,0,42,6718,81,116,38,2,0,827.955,0
5,0,32,11465,148,3,46,3,0,476.52,0
11,0,29,1810,43,209,16,3,0,910.12,0
0,0,9,3790,30,194,23,3,0,928.8,0
5,0,35,305,6,7,2,5,0,15.165,0
9,0,37,11655,155,20,50,4,0,345.25,0
1,0,31,4065,59,0,14,2,0,185.58,0
26,0,42,15220,227,64,36,3,0,873.88,0
21,1,40,10390,97,9,46,5,0,170.805,0
6,0,34,13693,167,0,40,3,0,554.4,0
5,0,17,1820,24,24,11,3,0,169.76,0
5,0,38,955,17,15,8,3,1,98.88,0
13,0,38,2838,64,29,32,3,1,232.08,0
12,0,37,3855,39,15,16,3,0,215.76,0
0,0,35,2760,65,0,26,2,0,127.125,0
4,0,31,3470,70,17,25,2,0,235.8,0
12,0,36,15610,180,146,27,2,0,1367.55,0
23,0,35,14960,217,43,27,3,0,779.08,0
24,0,40,10130,138,159,45,3,0,1046.72,0
2,0,35,2073,30,1,4,3,0,88.12,0
6,0,38,4180,70,0,14,3,0,170.0,0
0,0,38,470,9,0,13,2,1,21.555,0
15,0,39,7213,82,124,42,2,0,886.275,0
0,0,34,3658,79,0,26,2,0,168.165,0
7,0,44,803,19,25,11,3,1,132.88,0
0,0,32,0,0,0,0,5,0,0.0,0
0,0,33,710,8,5,7,2,1,54.81,0
12,0,35,7690,113,42,39,5,0,180.045,0
15,0,23,3157,57,46,22,4,0,195.35,0
5,0,33,8750,112,132,39,3,0,882.48,0
2,0,32,15000,168,132,23,2,0,1276.56,0
5,0,17,2728,47,35,22,3,0,251.0,0
4,0,14,4390,46,223,11,3,0,1069.44,0
9,0,41,6798,77,118,41,2,0,840.375,0
2,0,24,1135,28,182,6,2,0,871.335,0
4,0,25,3415,62,17,26,3,0,207.08,0
9,0,15,3257,50,32,17,3,0,260.28,0
11,0,16,8527,166,55,42,5,0,212.895,0
12,0,33,3790,77,30,31,4,0,171.675,0
8,0,31,8855,111,129,37,3,0,874.64,0
4,0,9,4580,41,224,13,3,0,1080.84,0
14,0,17,3562,56,39,19,3,0,300.72,0
22,0,36,15080,222,49,30,3,0,808.08,0
10,0,45,2698,70,17,36,2,0,201.06,0
1,0,32,4130,75,0,19,3,0,168.2,0
0,0,35,6195,80,179,24,3,0,967.0,0
14,0,40,3835,85,37,30,3,0,304.8,0
11,0,31,655,29,18,11,2,1,111.78,0
0,0,40,193,7,11,7,2,1,58.5,0
12,0,14,8818,165,41,36,4,0,327.075,0
6,0,32,1970,44,37,21,3,1,228.56,0
15,0,40,4865,78,21,22,3,0,281.72,0
0,0,35,6560,93,17,24,4,0,208.825,0
7,0,37,6323,100,8,10,2,0,325.035,0
