Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
8,0,38,0,4370,71,5,17,3,True,True,30,197,False
0,0,39,0,318,5,7,4,2,True,False,25,46,False
10,0,37,0,2453,60,359,24,3,True,True,30,1536,False
10,0,38,0,4198,66,1,35,1,True,True,15,240,False
3,0,38,0,2393,58,2,33,1,True,True,15,145,False
11,0,38,1,3775,82,32,28,3,True,True,30,282,False
4,0,38,0,2360,39,285,18,3,True,True,30,1235,False
13,0,37,2,9115,121,144,43,3,True,True,30,945,False
7,0,38,0,13773,169,0,44,3,True,True,30,557,False
7,0,38,1,4515,83,2,25,3,True,True,30,191,False
6,0,38,0,5918,95,7,12,3,True,True,30,268,False
25,0,38,3,15140,225,54,32,3,True,True,30,830,False
4,0,38,1,3095,27,483,8,3,True,True,30,2056,False
9,0,37,0,15485,182,150,30,2,True,True,25,1380,False
3,0,37,1,6500,86,186,26,3,True,True,30,1007,False
2,0,38,0,710,14,13,8,3,True,False,30,80,False
0,0,37,0,0,0,0,0,2,True,False,25,0,True
3,0,37,0,7508,127,384,43,2,True,True,25,2071,False
7,0,37,1,11465,154,11,47,4,True,True,45,317,False
8,0,37,1,6718,75,108,37,2,True,True,25,791,False
23,1,33,0,955,47,16,17,2,True,False,25,117,True
13,1,36,1,5818,98,26,24,2,True,True,25,383,True
1,0,34,0,2840,22,0,14,3,True,True,30,114,False
9,0,35,0,2990,41,9,16,3,True,False,30,157,True
0,0,36,0,133,2,0,2,3,True,False,30,5,True
1,0,36,0,1668,25,0,6,3,True,True,30,67,False
3,0,33,1,6785,97,14,22,5,True,True,55,124,False
0,0,36,1,338,4,4,2,5,True,True,55,11,False
6,0,34,3,6965,116,271,33,2,False,True,25,1538,False
2,0,36,0,3718,82,2,28,2,True,True,25,180,False
3,0,35,0,1665,44,38,20,3,True,False,30,220,False
6,0,36,0,2780,53,175,23,2,True,True,25,914,False
4,0,27,1,1315,36,193,11,2,False,True,25,929,False
4,0,26,0,1568,39,30,68,4,True,True,45,115,False
11,0,27,0,700,25,10,7,2,True,False,25,77,False
10,0,25,0,1225,32,19,13,2,True,True,25,142,False
2,0,25,0,3225,61,8,23,3,True,True,30,163,False
2,0,18,0,1695,26,28,14,2,True,True,25,203,False
2,0,9,1,4390,40,215,10,3,True,True,30,1037,False
0,0,35,0,0,0,0,0,2,True,False,25,0,True
0,1,34,0,0,0,0,0,3,True,False,30,0,True
0,0,34,0,0,0,0,0,5,True,True,55,0,False
0,0,35,0,0,0,0,0,2,True,False,25,0,False
0,0,33,0,0,0,0,0,2,True,False,25,0,True
0,0,33,0,0,0,0,0,2,True,False,25,0,False
0,0,31,0,0,0,0,0,2,True,False,25,0,True
0,1,30,0,0,0,0,0,4,True,False,45,0,True
0,0,36,0,0,0,0,0,2,True,False,25,0,False
0,0,33,0,0,0,0,0,3,True,False,30,0,True
0,0,37,0,0,0,0,0,2,True,False,25,0,True
0,0,36,0,0,0,0,0,3,True,False,30,0,True
