Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
10,0,37,0,2453,60,359,24,3,True,True,30,1536,False
4,0,38,1,3095,27,483,8,3,True,True,30,2056,False
3,0,37,0,7508,127,384,43,2,True,True,25,2071,False
23,1,33,0,955,47,16,17,2,True,False,25,117,True
21,1,36,8,10435,93,1,42,5,False,True,55,159,False
13,1,36,1,5818,98,26,24,2,True,True,25,383,True
9,1,36,0,2268,44,34,31,3,True,False,30,228,True
3,0,33,1,6785,97,14,22,5,True,True,55,124,False
0,1,36,0,628,7,9,4,4,True,False,45,38,True
0,0,36,1,338,4,4,2,5,True,True,55,11,False
13,0,39,1,2513,63,364,26,3,True,True,30,1559,False
7,0,40,2,3155,30,488,10,3,True,True,30,2079,False
3,1,39,1,60,3,5,2,2,True,True,25,25,True
6,0,39,1,7568,130,389,45,3,True,True,30,1863,False
26,1,35,1,1015,50,21,19,3,True,True,30,126,True
24,1,38,9,10495,96,6,44,5,False,True,55,167,False
12,1,38,1,2328,47,39,33,3,True,True,30,251,True
6,0,35,2,6845,100,19,24,5,True,True,55,132,False
3,0,38,2,398,7,9,4,5,True,True,55,19,False
9,1,36,4,7025,119,276,35,3,False,True,30,1389,False
15,0,17,1,8993,174,78,42,5,True,True,55,254,False
6,1,11,2,1548,22,5,9,3,True,True,30,82,True
7,0,35,0,2393,57,354,22,2,True,True,25,1703,False
6,1,36,0,2178,51,3,15,3,True,False,30,101,False
1,0,36,0,3035,24,478,6,3,True,True,30,2034,False
0,0,35,0,7448,124,379,41,2,True,True,25,2046,False
18,0,34,7,10375,90,0,40,4,True,True,45,261,False
6,1,34,0,2208,41,29,29,3,True,False,30,205,True
0,1,34,0,0,0,0,0,3,True,False,30,0,True
0,0,34,0,0,0,0,0,5,True,True,55,0,False
0,1,24,0,765,7,16,1,4,True,False,45,59,True
1,1,43,0,398,7,17,8,3,True,False,30,84,True
11,0,41,1,2533,62,369,28,3,True,True,30,1579,False
5,0,42,2,3175,29,493,12,3,True,True,30,2100,False
4,0,41,1,7588,129,394,47,3,True,True,30,1884,False
24,1,37,0,1035,49,26,21,3,True,False,30,147,True
22,1,40,9,10515,95,11,46,5,True,True,55,175,False
10,1,40,0,2348,46,44,35,3,True,False,30,271,True
4,0,37,2,6865,99,24,26,5,True,True,55,140,False
1,1,40,0,708,9,19,8,4,True,False,45,65,True
1,0,40,2,418,6,14,6,5,True,True,55,27,False
7,1,38,4,7045,118,281,37,2,False,True,25,1586,False
13,0,19,1,9013,173,83,44,5,True,True,55,262,False
9,0,33,0,2373,58,349,20,2,True,True,25,1679,False
3,0,34,0,3015,25,473,4,3,True,True,30,2013,False
2,0,33,0,7428,125,374,39,2,True,True,25,2022,False
20,0,32,7,10355,91,0,38,4,True,True,45,261,False
12,1,32,0,5738,96,16,20,2,True,True,25,334,True
8,1,31,0,2910,39,0,12,3,True,False,30,117,True
0,1,32,0,0,0,0,0,3,True,False,30,0,True
0,0,32,0,0,0,0,0,5,True,True,55,0,False
1,0,5,0,4310,38,205,6,3,True,True,30,993,False
2,0,5,0,1408,17,0,3,3,True,True,30,57,True
15,0,43,1,2713,70,374,30,3,True,True,30,1607,False
14,1,44,0,2498,64,23,23,3,True,False,30,194,False
9,0,44,2,3355,37,498,14,3,True,True,30,2127,False
8,0,43,1,7768,137,399,49,3,True,True,30,1912,False
28,1,39,0,1215,57,31,23,3,True,False,30,174,True
26,0,42,9,10695,103,16,48,5,False,True,55,185,False
14,1,41,0,3250,51,24,22,3,True,False,30,228,True
14,1,42,0,2528,54,49,37,4,True,False,45,187,True
8,0,39,2,7045,107,29,28,5,True,True,55,150,False
5,0,42,2,598,14,19,8,5,True,True,55,37,False
30,1,37,4,16335,248,15,86,2,True,True,25,813,False
11,1,40,4,7225,126,286,39,3,False,True,30,1438,False
9,0,32,1,1828,49,45,74,5,True,True,55,95,False
17,0,21,1,9193,181,88,46,5,True,True,55,272,False
8,1,15,2,1748,29,15,13,3,True,True,30,131,True
5,0,31,0,2193,50,344,18,2,True,True,25,1648,False
0,0,32,0,2835,17,468,2,3,True,True,30,1986,False
0,0,31,0,7248,117,369,37,2,True,True,25,1991,False
18,1,27,0,695,37,1,11,2,True,False,25,37,True
16,0,30,7,10175,83,0,36,4,True,True,45,256,False
8,1,30,0,5558,88,11,18,2,True,True,25,303,True
4,1,30,0,2008,34,19,25,3,True,False,30,157,True
0,1,30,0,0,0,0,0,4,True,False,45,0,True
0,1,30,0,0,0,0,0,5,True,True,55,0,True
0,0,3,0,4130,30,200,4,3,True,True,30,966,False
0,1,3,0,1228,9,0,1,2,True,True,25,55,True
12,0,40,0,2633,68,370,29,3,True,True,30,1588,False
6,0,41,1,3275,35,494,13,3,True,True,30,2108,False
5,0,40,0,7688,135,395,48,2,True,True,25,2129,False
25,1,36,0,1135,55,27,22,2,True,False,25,175,True
23,0,39,8,10615,101,12,47,5,True,True,55,178,False
11,1,38,0,3170,49,20,21,3,True,False,30,208,True
11,1,39,0,2448,52,45,36,3,True,False,30,280,True
2,1,39,0,313,10,11,7,3,True,False,30,56,True
5,0,36,1,6965,105,25,27,5,True,True,55,143,False
2,0,39,1,518,12,15,7,5,True,True,55,30,False
27,1,34,3,16255,246,11,85,2,True,True,25,792,False
6,1,30,1,1495,44,204,16,2,False,True,25,987,True
8,0,34,0,2273,52,348,19,3,True,True,30,1485,False
2,0,35,1,2915,19,472,3,3,True,True,30,2005,False
0,1,34,0,0,0,0,0,2,True,False,25,0,True
1,0,34,0,7328,119,373,38,2,True,True,25,2013,False
21,1,30,0,775,39,5,12,2,True,False,25,59,True
19,0,33,8,10255,85,0,37,5,True,True,55,155,False
11,1,33,1,5638,90,15,19,2,True,True,25,325,True
7,1,33,0,2088,36,23,26,3,True,False,30,176,True
1,0,30,1,6605,89,3,17,5,True,True,55,104,False
0,0,33,0,0,0,0,0,5,True,True,55,0,False
14,0,37,2,3053,70,380,39,3,True,True,30,1644,False
29,0,38,5,15740,235,75,47,3,True,True,30,939,False
8,0,38,3,3695,37,504,23,3,True,True,30,2165,False
7,0,37,2,8108,137,405,58,3,True,True,30,1949,False
27,1,33,0,1555,57,37,32,3,True,False,30,212,True
25,0,36,10,11035,103,22,57,5,False,True,55,200,False
13,1,35,0,3590,51,30,31,3,True,False,30,265,True
13,1,36,0,2868,54,55,46,3,True,False,30,336,True
7,0,33,3,7385,107,35,37,5,True,True,55,164,False
4,0,36,3,938,14,25,17,5,True,True,55,51,False
29,0,31,5,16675,248,21,95,2,True,True,25,856,False
10,0,34,5,7565,126,292,48,2,False,True,25,1660,False
7,1,35,0,2265,54,59,35,3,True,False,30,328,True
16,0,15,2,9533,181,94,55,5,True,True,55,286,False
12,0,16,5,3453,55,52,34,3,True,True,30,348,False
7,1,9,3,2088,29,21,22,3,True,True,30,168,True
6,0,37,0,1853,50,338,9,2,True,True,25,1606,False
0,0,38,0,2495,17,462,7,3,True,True,30,1948,False
0,0,37,0,6908,117,363,28,2,True,True,25,1949,False
17,0,36,6,9835,83,0,27,4,True,True,45,247,False
9,1,36,0,5218,88,5,9,2,True,True,25,261,True
0,0,36,0,0,0,0,0,5,True,True,55,0,False
0,1,9,0,888,9,0,3,3,True,True,30,35,True
10,0,38,1,2568,66,391,28,3,True,True,30,1669,False
9,1,39,0,2353,60,40,21,3,True,False,30,256,False
4,0,39,2,3210,33,515,12,4,True,True,45,1368,False
3,0,38,1,7623,133,416,47,3,True,True,30,1974,False
23,1,34,0,1070,53,48,21,3,True,False,30,236,True
21,0,37,9,10550,99,33,46,5,True,True,55,209,False
9,1,36,0,3105,47,41,20,3,True,False,30,290,True
3,0,34,2,6900,103,46,26,5,True,True,55,174,False
0,0,37,2,453,10,36,6,5,True,True,55,60,False
4,0,27,1,1683,45,62,72,5,True,True,55,118,False
12,0,16,1,9048,177,105,44,5,True,True,55,295,False
4,0,37,0,2980,21,451,4,3,True,True,30,1924,False
0,1,36,0,0,0,0,0,2,True,False,25,0,True
3,0,36,0,7393,121,352,39,2,True,True,25,1922,False
21,0,35,7,10320,87,0,38,4,False,True,45,260,False
13,1,35,0,5703,92,0,20,2,True,True,25,260,True
9,1,34,0,2875,35,0,12,2,True,False,25,130,True
3,1,8,0,1373,13,0,3,2,True,True,25,62,True
12,0,37,0,2643,61,368,27,3,True,True,30,1580,False
11,1,38,0,2428,55,17,20,3,True,False,30,167,False
6,0,38,1,3285,28,492,11,3,True,True,30,2100,False
5,0,37,0,7698,128,393,46,2,True,True,25,2120,False
25,1,33,0,1145,48,25,20,2,True,False,25,166,True
23,0,36,8,10625,94,10,45,5,True,True,55,175,False
11,1,35,0,3180,42,18,19,3,True,False,30,200,True
11,1,36,0,2458,45,43,34,3,True,False,30,272,True
5,0,33,1,6975,98,23,25,5,True,True,55,140,False
2,0,36,1,528,5,13,5,5,True,True,55,27,False
6,1,27,1,1505,37,202,14,2,False,True,25,978,True
8,0,37,0,2263,59,350,21,3,True,True,30,1492,False
2,0,38,1,2905,26,474,5,3,True,True,30,2013,False
1,0,37,0,7318,126,375,40,2,True,True,25,2022,False
19,0,36,8,10245,92,0,39,5,False,True,55,155,False
7,1,35,0,2800,40,0,13,3,True,False,30,113,True
1,0,33,1,6595,96,5,19,5,True,True,55,107,False
0,0,36,1,0,0,0,0,5,True,True,55,0,False
8,0,32,0,2453,54,351,23,2,True,True,25,1692,False
7,1,33,0,2238,48,0,16,3,True,False,30,91,False
2,0,33,0,3095,21,475,7,3,True,True,30,2024,False
1,0,32,0,7508,121,376,42,2,True,True,25,2035,False
21,1,28,0,955,41,8,16,2,True,False,25,80,True
19,0,31,7,10435,87,0,41,4,True,True,45,263,False
7,1,30,0,2990,35,1,15,2,True,False,25,140,True
7,1,31,0,2268,38,26,30,3,True,False,30,196,True
0,1,31,0,0,0,0,0,2,True,False,25,0,True
0,0,4,0,4390,34,207,9,3,True,True,30,1004,False
1,0,4,0,1487,13,0,6,2,True,True,25,67,True
12,0,42,1,2453,66,367,25,3,True,True,30,1568,False
11,1,43,0,2238,60,16,18,3,True,False,30,155,False
6,0,43,2,3095,33,491,9,4,True,True,45,1305,False
5,0,42,1,7508,133,392,44,3,True,True,30,1873,False
25,1,38,0,955,53,24,18,3,True,False,30,136,True
23,0,41,9,10435,99,9,43,5,False,True,55,171,False
11,1,41,0,2268,50,42,32,4,True,False,45,162,True
5,0,38,2,6785,103,22,23,5,True,True,55,136,False
2,0,41,2,338,10,12,3,5,True,True,55,23,False
6,1,32,2,1315,42,201,12,3,False,True,30,858,True
6,0,31,1,1568,45,38,69,5,True,True,55,81,False
14,0,20,1,8932,177,81,41,5,True,True,55,258,False
5,1,14,2,1487,25,8,8,3,True,True,30,92,True
16,0,38,1,3163,71,367,24,3,True,True,30,1597,False
31,1,39,4,15850,236,62,32,3,True,True,30,891,False
10,0,39,2,3805,38,491,8,3,True,True,30,2117,False
9,0,38,1,8218,138,392,43,3,True,True,30,1902,False
29,1,34,0,1665,58,24,17,3,True,False,30,164,True
27,0,37,9,11145,104,9,42,5,False,True,55,182,False
15,1,36,0,3700,52,17,16,3,True,False,30,218,True
15,1,37,0,2978,55,42,31,3,True,False,30,289,True
9,0,34,2,7495,108,22,22,5,True,True,55,147,False
6,1,37,0,1338,18,17,4,4,True,False,45,76,True
6,0,37,2,1048,15,12,2,5,True,True,55,33,False
31,1,32,4,16785,249,8,80,2,True,True,25,802,False
12,1,35,4,7675,127,279,33,3,False,True,30,1428,False
18,0,16,1,9642,182,81,40,5,True,True,55,268,False
4,0,36,0,1743,49,334,24,2,True,True,25,1583,False
0,0,37,0,2385,16,458,8,3,True,True,30,1928,False
0,0,36,0,6798,116,359,43,2,True,True,25,1926,False
15,0,35,7,9725,82,0,42,4,True,True,45,245,False
3,1,34,0,2280,30,0,16,2,True,False,25,103,True
0,0,35,0,0,0,0,0,5,True,True,55,0,False
10,0,37,0,2453,60,359,24,3,True,True,30,1536,False
9,1,38,0,2238,54,8,17,3,True,False,30,123,False
4,0,38,1,3095,27,483,8,3,True,True,30,2056,False
3,0,37,0,7508,127,384,43,2,True,True,25,2071,False
21,1,36,8,10435,93,1,42,5,True,True,55,159,False
9,1,35,0,2990,41,9,16,3,True,False,30,157,True
3,0,33,1,6785,97,14,22,5,True,True,55,124,False
0,0,36,1,338,4,4,2,5,True,True,55,11,False
4,1,27,1,1315,36,193,11,2,False,True,25,929,True
10,0,37,0,2453,60,359,24,3,True,True,30,1536,False
9,1,38,0,2238,54,8,17,3,True,False,30,123,False
4,0,38,1,3095,27,483,8,3,True,True,30,2056,False
3,0,37,0,7508,127,384,43,2,True,True,25,2071,False
23,1,33,0,955,47,16,17,2,True,False,25,117,True
21,0,36,8,10435,93,1,42,5,True,True,55,159,False
13,1,36,1,5818,98,26,24,2,True,True,25,383,True
3,0,33,1,6785,97,14,22,5,True,True,55,124,False
0,0,36,1,338,4,4,2,5,True,True,55,11,False
25,1,31,3,16075,238,0,80,2,True,True,25,734,False
3,1,9,1,1487,19,0,7,3,True,True,30,60,True
5,0,35,0,2148,54,352,22,2,True,True,25,1683,False
0,0,36,0,2790,21,476,6,3,True,True,30,2016,False
0,0,35,0,7203,121,377,41,2,True,True,25,2026,False
16,0,34,7,10130,87,0,40,4,True,True,45,255,False
8,1,34,0,5513,92,19,22,2,True,True,25,337,True
0,1,34,0,0,0,0,0,3,True,False,30,0,True
0,0,34,0,0,0,0,0,5,True,True,55,0,False
0,1,25,0,1010,30,186,9,2,False,True,25,883,True
0,1,7,0,1183,13,0,5,2,True,False,25,53,True
8,0,37,0,2208,57,357,24,2,True,True,25,1708,False
2,0,38,1,2850,24,481,8,3,True,True,30,2038,False
