Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
10,0,38,0,4198,66,1,35,1,True,True,15,240,False
3,0,38,0,2393,58,2,33,1,True,True,15,145,False
4,0,38,0,2360,39,285,18,3,True,True,30,1235,False
25,0,38,3,15140,225,54,32,3,True,True,30,830,False
9,0,37,0,15485,182,150,30,2,True,True,25,1380,False
7,0,37,1,11465,154,11,47,4,True,True,45,317,False
25,0,31,3,16075,238,0,80,2,False,True,25,734,False
6,0,34,3,6965,116,271,33,2,False,True,25,1538,False
4,0,26,0,1568,39,30,68,4,True,True,45,115,False
0,0,26,0,825,10,21,3,4,True,False,45,73,True
16,0,17,1,6393,141,85,42,2,False,True,25,676,False
12,0,15,0,8933,171,73,40,4,True,True,45,410,False
8,0,16,3,2853,45,31,19,3,False,True,30,239,False
2,0,9,1,4390,40,215,10,3,True,True,30,1037,False
3,0,9,1,1488,19,0,7,3,True,True,30,60,True
13,0,40,1,4258,69,6,37,1,True,True,15,270,False
7,0,40,1,2420,42,290,20,3,True,True,30,1258,False
16,0,39,3,9175,124,149,45,3,True,True,30,967,False
28,0,40,4,15200,228,59,34,3,True,True,30,853,False
12,0,39,1,15545,185,155,32,2,True,True,25,1405,False
10,0,39,2,11525,157,16,49,4,False,True,45,332,False
4,0,38,1,1728,28,5,8,4,True,True,45,56,False
3,0,38,1,688,10,14,6,4,True,True,45,52,True
28,0,33,4,16135,241,5,82,2,True,True,25,759,False
7,0,28,1,1628,42,35,70,4,True,True,45,129,False
3,0,28,1,885,13,26,5,4,True,True,45,87,False
11,0,18,4,2913,48,36,21,3,True,True,30,262,False
5,0,11,2,4450,43,220,12,3,True,True,30,1059,False
7,0,36,0,4138,63,0,33,1,True,True,15,231,False
0,0,36,0,2333,55,0,31,1,True,True,15,131,False
1,0,36,0,2300,36,280,16,3,True,True,30,1213,False
22,0,36,2,15080,222,49,30,3,True,True,30,808,False
6,0,35,0,15425,179,145,28,2,True,True,25,1354,False
0,0,31,0,6725,94,9,20,4,True,True,45,192,False
0,0,34,0,568,4,4,2,4,True,False,45,24,True
22,0,29,2,16015,235,0,78,2,True,True,25,731,False
3,0,32,2,6905,113,266,31,2,False,True,25,1512,False
1,0,24,0,1508,36,25,66,4,True,True,45,101,False
0,0,16,0,1635,23,23,12,2,True,True,25,178,False
13,0,15,0,6333,138,80,40,1,False,True,15,795,False
9,0,13,0,8873,168,68,38,4,True,True,45,396,False
5,0,14,2,2793,42,26,17,3,True,True,30,217,False
0,0,7,0,4330,37,210,8,3,True,True,30,1014,False
