Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
10,0,37,0,2453,60,359,24,3,True,True,30,1536,False
10,0,38,0,4198,66,1,35,1,True,True,15,240,False
3,0,38,0,2393,58,2,33,1,True,True,15,145,False
4,0,38,0,2360,39,285,18,3,True,True,30,1235,False
25,0,38,3,15140,225,54,32,3,True,True,30,830,False
4,0,38,1,3095,27,483,8,3,True,True,30,2056,False
9,0,37,0,15485,182,150,30,2,True,True,25,1380,False
3,0,37,0,7508,127,384,43,2,True,True,25,2071,False
7,0,37,1,11465,154,11,47,4,True,True,45,317,False
23,1,33,0,955,47,16,17,2,True,False,25,117,True
21,1,36,8,10435,93,1,42,5,False,True,55,159,False
13,1,36,1,5818,98,26,24,2,True,True,25,383,True
9,1,36,0,2268,44,34,31,3,True,False,30,228,True
3,0,33,1,6785,97,14,22,5,True,True,55,124,False
0,1,36,0,628,7,9,4,4,True,False,45,38,True
0,0,36,1,338,4,4,2,5,True,True,55,11,False
25,0,31,3,16075,238,0,80,2,False,True,25,734,False
6,0,34,3,6965,116,271,33,2,False,True,25,1538,False
4,0,26,0,1568,39,30,68,4,True,True,45,115,False
0,0,26,0,825,10,21,3,4,True,False,45,73,True
16,0,17,1,6393,141,85,42,2,False,True,25,676,False
12,0,15,0,8933,171,73,40,4,True,True,45,410,False
8,0,16,3,2853,45,31,19,3,False,True,30,239,False
2,0,9,1,4390,40,215,10,3,True,True,30,1037,False
3,0,9,1,1488,19,0,7,3,True,True,30,60,True
13,0,39,1,2513,63,364,26,3,True,True,30,1559,False
13,0,40,1,4258,69,6,37,1,True,True,15,270,False
7,0,40,1,2420,42,290,20,3,True,True,30,1258,False
16,0,39,3,9175,124,149,45,3,True,True,30,967,False
28,0,40,4,15200,228,59,34,3,True,True,30,853,False
7,0,40,2,3155,30,488,10,3,True,True,30,2079,False
12,0,39,1,15545,185,155,32,2,True,True,25,1405,False
3,1,39,1,60,3,5,2,2,True,True,25,25,True
6,0,39,1,7568,130,389,45,3,True,True,30,1863,False
10,0,39,2,11525,157,16,49,4,False,True,45,332,False
